Id,Category,Description,Related Section,Resolved Status,Priority Level,Created Date,Last Updated Date,Assigned To
1,"Structure, Presentation and Layout",An appendix should have been included.,Appendix,Yes,High,02/11/2024,02/11/2024,Jane Smith
2,"Structure, Presentation and Layout","More use should have been made of the appendix, to de-clutter the document.",Appendix,Yes,Medium,03/11/2024,03/11/2024,Alice Johnson
3,"Structure, Presentation and Layout",The appendix should be split into a number of appendices to reflect the different aspects within its overall contents.,Appendix,No,Low,04/11/2024,04/11/2024,Bob Williams
4,"Structure, Presentation and Layout",The appendix is excessively large and requires rationalisation of the material included.,Appendix,Yes,Medium,05/11/2024,05/11/2024,George Brown
5,"Structure, Presentation and Layout","Vital material, meritorious of inclusion in the main document, has been relegated to the appendix.",Appendix,No,Medium,06/11/2024,06/11/2024,Henry Taylor
6,Completeness,No abstract has been included although one was expected/required.,Abstract,No,High,07/11/2024,07/11/2024,John Bert
7,Completeness,No executive summary has been included although this was an expected/required feature.,Executive Summary,No,Low,08/11/2024,08/11/2024,Barry Barns
8,Length and Formatting,The abstract is not of an appropriate length; It should typically be 150-250 words and should fit comfortably on a single side of A4.,Abstract,Yes,Low,09/11/2024,09/11/2024,Molly Smith
9,Structure and Clarity,The abstract is not properly constructed; There should be no repetition; The text should flow logically; The abstract should succinctly summarise the entire document including final outcomes and conclusions; Quantitative findings should also be summarised; Abstracts are best written when the other work has been completed; Refereed Journals provide good sources for exemplars.,Abstract,No,Medium,10/11/2024,10/11/2024,Anna Hamilton
10,Detail and Quality,"The executive summary is not properly constructed; It should be 3-5 times the length of the abstract and should contain more detail, throughout, while avoiding repetition and peripheral detail; upon reading the abstract and executive summary, the reader should have a good grasp of the underlying topic(s)/themes, what has been achieved, the resulting conclusions, the important outcomes, the principal quantitative outcomes and the relevance of the work in a wider context.",Executive Summary,Yes,High,11/11/2024,11/11/2024,Summer Finley
